iter	Passed	Remaining
0	7	7162
1	15	7642
2	22	7383
3	29	7268
4	36	7349
5	44	7310
6	53	7626
7	60	7556
8	68	7558
9	76	7536
10	84	7606
11	90	7443
12	98	7470
13	104	7383
14	110	7264
15	118	7269
16	123	7158
17	130	7095
18	135	7009
19	141	6931
20	148	6904
21	154	6849
22	160	6798
23	166	6790
24	172	6734
25	178	6701
26	184	6653
27	190	6607
28	196	6592
29	202	6551
30	208	6512
31	214	6502
32	222	6516
33	231	6571
34	239	6599
35	247	6636
36	255	6644
37	263	6673
38	270	6669
39	278	6692
40	285	6679
41	292	6665
42	298	6642
43	304	6616
44	311	6604
45	317	6577
46	322	6548
47	329	6529
48	335	6509
49	341	6491
50	347	6471
51	355	6477
52	361	6460
53	367	6435
54	373	6416
55	380	6414
56	386	6398
57	394	6408
58	400	6387
59	406	6372
60	412	6355
61	418	6335
62	425	6328
63	431	6308
64	437	6289
65	444	6293
66	450	6276
67	456	6260
68	462	6245
69	468	6225
70	475	6221
71	481	6208
72	487	6194
73	496	6209
74	501	6191
75	508	6182
76	514	6165
77	520	6150
78	526	6139
79	532	6123
80	539	6117
81	545	6103
82	551	6093
83	557	6079
84	563	6066
85	569	6054
86	576	6051
87	582	6040
88	589	6031
89	595	6017
90	601	6004
91	607	5997
92	613	5984
93	619	5974
94	625	5962
95	633	5963
96	639	5956
97	645	5944
98	652	5934
99	658	5922
100	663	5909
101	670	5905
102	677	5896
103	682	5883
104	689	5875
105	694	5861
106	701	5853
107	707	5842
108	713	5830
109	719	5822
110	725	5810
111	731	5803
112	738	5795
113	744	5784
114	750	5772
115	756	5761
116	762	5750
117	770	5757
118	776	5746
119	782	5737
120	789	5732
121	795	5722
122	801	5717
123	807	5706
124	813	5696
125	820	5690
126	826	5680
127	833	5676
128	839	5666
129	845	5656
130	851	5646
131	856	5635
132	862	5625
133	869	5619
134	875	5610
135	882	5604
136	888	5599
137	894	5589
138	901	5585
139	907	5576
140	914	5571
141	921	5567
142	927	5557
143	934	5553
144	939	5542
145	946	5535
146	952	5525
147	958	5516
148	964	5511
149	971	5503
150	977	5494
151	983	5489
152	990	5480
153	996	5477
154	1002	5466
155	1008	5456
156	1014	5449
157	1020	5440
158	1026	5431
159	1033	5423
160	1039	5414
161	1046	5411
162	1051	5401
163	1057	5392
164	1065	5392
165	1071	5384
166	1079	5382
167	1087	5384
168	1095	5385
169	1101	5376
170	1106	5366
171	1113	5360
172	1119	5351
173	1125	5343
174	1131	5334
175	1137	5326
176	1143	5318
177	1150	5311
178	1156	5302
179	1162	5296
180	1168	5288
181	1175	5282
182	1181	5272
183	1187	5264
184	1193	5259
185	1199	5251
186	1208	5252
187	1214	5244
188	1219	5234
189	1226	5229
190	1232	5221
191	1238	5213
192	1244	5205
193	1250	5196
194	1257	5189
195	1263	5181
196	1269	5173
197	1275	5168
198	1281	5159
199	1288	5152
200	1335	5307
201	1351	5338
202	1374	5396
203	1384	5403
204	1403	5443
205	1410	5437
206	1416	5426
207	1423	5418
208	1428	5408
209	1434	5397
210	1440	5388
211	1446	5377
212	1452	5368
213	1459	5359
214	1465	5349
215	1471	5342
216	1477	5331
217	1483	5321
218	1490	5313
219	1495	5303
220	1503	5300
221	1510	5293
222	1516	5283
223	1522	5276
224	1529	5268
225	1536	5260
226	1541	5250
227	1547	5240
228	1554	5232
229	1559	5222
230	1566	5213
231	1572	5205
232	1578	5195
233	1584	5188
234	1590	5178
235	1596	5168
236	1603	5160
237	1608	5151
238	1614	5142
239	1622	5137
240	1628	5127
241	1635	5123
242	1642	5117
243	1648	5108
244	1654	5099
245	1661	5091
246	1667	5084
247	1673	5074
248	1679	5065
249	1686	5058
250	1691	5048
